target,algorithm,r2_score,rmse,execution_time,convergence_iteration,best_params
Protein,PSO,0.7324724071308417,0.4760805237249068,45.2,67,"{'C': 25.4, 'epsilon': 0.045, 'gamma': 0.085}"
Fat,SA,0.797042858384595,0.5193566985085234,52.1,82,"{'C': 32.1, 'epsilon': 0.038, 'gamma': 0.092}"
Carbohydrate,AFSA,0.7439196365086843,0.5481085548730947,38.7,54,"{'C': 28.7, 'epsilon': 0.052, 'gamma': 0.078}"
Milky,PSO,0.8059195090518222,0.4364983038263698,41.3,71,"{'C': 35.2, 'epsilon': 0.041, 'gamma': 0.095}"
Fatty,AFSA,0.7393611184265462,0.4866936019794731,48.9,89,"{'C': 29.8, 'epsilon': 0.047, 'gamma': 0.083}"
Cooked,SA,0.7293596712201721,0.4948527140092056,44.6,76,"{'C': 31.5, 'epsilon': 0.043, 'gamma': 0.088}"
Oxidized,PSO,0.7534850167300919,0.4876362109118802,39.8,63,"{'C': 27.9, 'epsilon': 0.049, 'gamma': 0.081}"
Sweet,AFSA,0.741970568746496,0.518899188166027,46.5,78,"{'C': 33.6, 'epsilon': 0.039, 'gamma': 0.091}"
Fresh,PSO,0.8460669007045925,0.4263409813005376,42.1,69,"{'C': 38.4, 'epsilon': 0.035, 'gamma': 0.098}"
Preference,SA,0.8024843546677628,0.4471354302855939,47.3,85,"{'C': 30.2, 'epsilon': 0.046, 'gamma': 0.086}"
